gene,gene_id,uniprot,protein_class,molec_function,conc_thpa_ugl,conc_inter_bgs_average_ugl,conc_inter_geyer_ppd_ugl,top15bgs_thpa,top15bgs_thpa_log,mars14,sepromix20,,
Orosomucoid 1,ENSG00000229314,P02763,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,120000,97100,167000,120000,5.079181246,1,1,,
Fibrinogen gamma chain,ENSG00000171557,P02679,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,68000,794000,268000,68000,4.832508913,1,1,,
Ceruloplasmin,ENSG00000047457,P00450,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Oxidoreductase,830000,245,170000,2420000,6.383815366,0,1,,
Gelsolin,ENSG00000148180,P06396,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Actin capping, Actin-binding",510000,,,1990000,6.298853076,0,0,,
Retinol binding protein 4,ENSG00000138207,P02753,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,420000,24900,580000,1440000,6.158362492,0,0,,
Hemopexin,ENSG00000110169,P02790,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,230000,406000,363000,818000,5.912753304,0,0,,
Apolipoprotein D,ENSG00000189058,P05090,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,220000,10900,82000,509000,5.706717782,0,0,,
Serpin family C member 1,ENSG00000117601,P01008,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Heparin-binding, Protease inhibitor, Serine protease inhibitor",210000,164000,92900,406000,5.608526034,0,0,,
Complement factor B,ENSG00000243649,P00751,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",180000,118000,,251000,5.399673721,0,0,,
"Alpha-2-glycoprotein 1, zinc-binding",ENSG00000160862,P25311,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,160000,,50000,160000,5.204119983,0,0,,
Peptidoglycan recognition protein 2,ENSG00000161031,Q96PD5,"Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Hydrolase,160000,,,160000,5.204119983,0,0,,
Alpha 2-HS glycoprotein,ENSG00000145192,P02765,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,140000,156000,82000,140000,5.146128036,0,0,,
Apolipoprotein A4,ENSG00000110244,P06727,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,140000,50500,101000,140000,5.146128036,0,0,,
Complement factor H,ENSG00000000971,P08603,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins",,110000,251000,41900,110000,5.041392685,0,0,,
Apolipoprotein C2,ENSG00000234906,P02655,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",,110000,14500,240000,110000,5.041392685,0,0,,
Serpin family F member 2,ENSG00000167711,P08697,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",110000,13100,54800,110000,5.041392685,0,0,,
Angiotensinogen,ENSG00000135744,P01019,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Vasoactive, Vasoconstrictor",110000,12200,23000,110000,5.041392685,0,0,,
Immunoglobulin lambda like polypeptide 1,ENSG00000128322,P15814,"CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,100000,,,100000,5,0,0,,
Complement C4A (Rodgers blood group),ENSG00000244731,P0C0L4,"Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Blood group antigen,98000,,,98000,4.991226076,0,1,,
Complement C9,ENSG00000113600,P02748,"Disease related genes, Plasma proteins, Predicted secreted proteins",,97000,30900,9560,97000,4.986771734,0,0,,
Complement C4B (Chido blood group),ENSG00000224389,P0C0L5,"Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Blood group antigen,97000,19900,134000,97000,4.986771734,0,1,,
Apolipoprotein C3,ENSG00000110245,P02656,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",,97000,12700,57100,97000,4.986771734,0,0,,
Serpin family A member 3,ENSG00000196136,P01011,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",95000,169000,110000,95000,4.977723605,0,0,,
Serpin family D member 1,ENSG00000099937,P05546,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Heparin-binding, Protease inhibitor, Serine protease inhibitor",94000,40700,35400,94000,4.973127854,0,0,,
Apolipoprotein B,ENSG00000084674,P04114,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,89000,,302000,89000,4.949390007,0,1,,
Serpin family F member 1,ENSG00000132386,P36955,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,85000,7360,6520,85000,4.929418926,0,0,,
Haptoglobin-related protein,ENSG00000261701,P00739,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Serine protease homolog,77000,44100,40700,77000,4.886490725,0,0,,
"Amyloid P component, serum",ENSG00000132703,P02743,"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",,76000,245,5050,76000,4.880813592,0,0,,
Leucine rich alpha-2-glycoprotein 1,ENSG00000171236,P02750,"Plasma proteins, Predicted secreted proteins",,74000,14100,2700,74000,4.86923172,0,0,,
"Serum amyloid A4, constitutive",ENSG00000148965,P35542,"Plasma proteins, Predicted secreted proteins",,72000,18600,30000,72000,4.857332496,0,0,,
Alpha-1-microglobulin/bikunin precursor,ENSG00000106927,P02760,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",71000,100000,48000,71000,4.851258349,0,0,,
"GC, vitamin D binding protein",ENSG00000145321,P02774,"Plasma proteins, Predicted secreted proteins",Actin-binding,69000,,,69000,4.838849091,0,0,,
Complement C7,ENSG00000112936,P10643,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins",,67000,20800,2600,67000,4.826074803,0,0,,
Keratin 1,ENSG00000167768,P04264,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,65000,,,65000,4.812913357,0,0,,
Kininogen 1,ENSG00000113889,P01042,"Disease related genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Thiol protease inhibitor, Vasoactive, Vasodilator",64000,,,64000,4.806179974,0,0,,
Apolipoprotein E,ENSG00000130203,P02649,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,63000,24300,16400,63000,4.799340549,0,0,,
Orosomucoid 2,ENSG00000228278,P19652,"Plasma proteins, Predicted secreted proteins",,61000,,415000,61000,4.785329835,0,0,,
Lumican,ENSG00000139329,P51884,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,59000,2100,4000,59000,4.770852012,0,0,,
Serpin family A member 6,ENSG00000170099,P08185,"Disease related genes, Plasma proteins, Predicted secreted proteins",,59000,,1200,59000,4.770852012,0,0,,
Inter-alpha-trypsin inhibitor heavy chain family member 4,ENSG00000055955,Q14624,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",53000,,,53000,4.72427587,0,0,,
Complement C2,ENSG00000166278,P06681,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",52000,,,52000,4.716003344,0,0,,
Alpha-1-B glycoprotein,ENSG00000121410,P04217,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,49000,126000,91400,49000,4.69019608,0,0,,
Serpin family A member 7,ENSG00000123561,P05543,"Plasma proteins, Predicted secreted proteins",,49000,4980,1300,49000,4.69019608,0,0,,
Fibronectin 1,ENSG00000115414,P02751,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Heparin-binding,47000,314000,43600,47000,4.672097858,0,0,,
Complement C5,ENSG00000106804,P01031,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",,46000,54800,,46000,4.662757832,0,0,,
C-type lectin domain family 3 member B,ENSG00000163815,P05452,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,46000,3570,58000,46000,4.662757832,0,0,,
Apolipoprotein H,ENSG00000091583,P02749,"Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Heparin-binding,44000,166000,85200,44000,4.643452676,0,0,,
Insulin like growth factor binding protein acid labile subunit,ENSG00000099769,P35858,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",,44000,,,44000,4.643452676,0,0,,
"Coagulation factor II, thrombin",ENSG00000180210,P00734,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",43000,176000,12300,43000,4.633468456,0,0,,
Carboxypeptidase N subunit 2,ENSG00000178772,P22792,"Plasma proteins, Predicted secreted proteins",,42000,16400,2000,42000,4.62324929,0,0,,
Keratin 9,ENSG00000171403,P35527,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,42000,,,42000,4.62324929,0,0,,
Plasminogen,ENSG00000122194,P00747,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",41000,168000,55200,41000,4.612783857,0,1,,
Attractin,ENSG00000088812,O75882,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Receptor,39000,,660,39000,4.591064607,0,0,,
Serpin family G member 1,ENSG00000149131,P05155,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",38000,,,38000,4.579783597,0,0,,
Clusterin,ENSG00000120885,P10909,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Chaperone,36000,,,36000,4.556302501,0,0,,
Complement component 4 binding protein alpha,ENSG00000123838,P04003,"Plasma proteins, Predicted secreted proteins",,34000,15200,11000,34000,4.531478917,0,0,,
Fibulin 1,ENSG00000077942,P23142,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,34000,,,34000,4.531478917,0,0,,
Keratin 10,ENSG00000186395,P13645,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,34000,,,34000,4.531478917,0,0,,
Ficolin 3,ENSG00000142748,O75636,"Disease related genes, Plasma proteins, Predicted secreted proteins",,33000,6180,1000,33000,4.51851394,0,0,,
Vitronectin,ENSG00000109072,P04004,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,32000,92000,44500,32000,4.505149978,0,0,,
Inter-alpha-trypsin inhibitor heavy chain 1,ENSG00000055957,P19827,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",31000,96000,24000,31000,4.491361694,0,0,,
Histidine rich glycoprotein,ENSG00000113905,P04196,"Disease related genes, Plasma proteins, Predicted secreted proteins",Heparin-binding,30000,,80600,30000,4.477121255,0,0,,
Serine protease 2,ENSG00000275896,P07478,"Enzymes, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",27000,,,27000,4.431363764,0,0,,
Apolipoprotein C1,ENSG00000130208,P02654,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",,26000,15600,15300,26000,4.414973348,0,0,,
Serine protease 1,ENSG00000204983,P07477,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",26000,,,26000,4.414973348,0,0,,
Paraoxonase 1,ENSG00000005421,P27169,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Hydrolase,24000,24500,7700,24000,4.380211242,0,0,,
Inter-alpha-trypsin inhibitor heavy chain 2,ENSG00000151655,P19823,"Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",22000,250000,21000,22000,4.342422681,0,0,,
Serpin family A member 4,ENSG00000100665,P29622,"Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",22000,,11600,22000,4.342422681,0,0,,
Carboxypeptidase N subunit 1,ENSG00000120054,P15169,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Carboxypeptidase, Hydrolase, Metalloprotease, Protease",22000,,720,22000,4.342422681,0,0,,
Complement C1r subcomponent like,ENSG00000139178,Q9NZP8,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",20000,99.3,260,20000,4.301029996,0,0,,
Apolipoprotein L1,ENSG00000100342,O14791,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",,19000,,,19000,4.278753601,0,0,,
Apolipoprotein M,ENSG00000204444,O95445,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,18000,13100,1500,18000,4.255272505,0,0,,
Hemoglobin subunit alpha 2,ENSG00000188536,P69905,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",,17000,90400,41000,17000,4.230448921,0,0,,
Hemoglobin subunit alpha 1,ENSG00000206172,P69905,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",,17000,90400,41000,17000,4.230448921,0,0,,
Coagulation factor X,ENSG00000126218,P00742,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",16000,,500,16000,4.204119983,0,0,,
Sex hormone binding globulin,ENSG00000129214,P04278,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,15000,2110,180,15000,4.176091259,0,0,,
CD14 molecule,ENSG00000170458,P08571,"Cancer-related genes, CD markers, Plasma proteins, Predicted secreted proteins",,15000,10.9,420,15000,4.176091259,0,0,,
Hemoglobin subunit beta,ENSG00000244734,P68871,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters","Hypotensive agent, Vasoactive",15000,,30000,15000,4.176091259,0,0,,
Complement factor H related 1,ENSG00000244414,Q03591,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,15000,,,15000,4.176091259,0,0,,
Complement C1r,ENSG00000159403,P00736,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",14000,23400,4300,14000,4.146128036,0,0,,
Carboxypeptidase B2,ENSG00000080618,Q96IY4,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Carboxypeptidase, Hydrolase, Metalloprotease, Protease",14000,44.1,700,14000,4.146128036,0,0,,
Keratin 2,ENSG00000172867,P35908,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",,14000,,,14000,4.146128036,0,0,,
Complement C1s,ENSG00000182326,P09871,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",13000,21600,5200,13000,4.113943352,0,0,,
"PZP, alpha-2-macroglobulin like",ENSG00000126838,P20742,"Cancer-related genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",13000,140,31100,13000,4.113943352,0,0,,
Coagulation factor V,ENSG00000198734,P12259,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",,13000,,4150,13000,4.113943352,0,0,,
Butyrylcholinesterase,ENSG00000114200,P06276,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Serine esterase",13000,,170,13000,4.113943352,0,0,,
Extracellular matrix protein 1,ENSG00000143369,Q16610,"Disease related genes, Plasma proteins, Predicted secreted proteins",,12000,,,12000,4.079181246,0,0,,
Complement factor I,ENSG00000205403,P05156,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins","Hydrolase, Protease, Serine protease",11000,9290,5.7,11000,4.041392685,0,0,,
HGF activator,ENSG00000109758,Q04756,"Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",11000,33.4,240,11000,4.041392685,0,0,,
Hemoglobin subunit delta,ENSG00000223609,P02042,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",,11000,,30000,11000,4.041392685,0,0,,
Galectin 3 binding protein,ENSG00000108679,Q08380,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",,11000,,440,11000,4.041392685,0,0,,
Coagulation factor IX,ENSG00000101981,P00740,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",11000,,,11000,4.041392685,0,0,,
Glutathione peroxidase 3,ENSG00000211445,P22352,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Oxidoreductase, Peroxidase",10000,4480,22500,10000,4,0,0,,
Lecithin-cholesterol acyltransferase,ENSG00000213398,P04180,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Acyltransferase, Hydrolase, Transferase",9500,,220,9500,3.977723605,0,0,,
Complement factor properdin,ENSG00000126759,P27918,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,8500,,330,8500,3.929418926,0,0,,
Selectin L,ENSG00000188404,P14151,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins",,8100,,,8100,3.908485019,0,0,,
Complement factor D,ENSG00000197766,P00746,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins","Hydrolase, Protease, Serine protease",8000,,2490,8000,3.903089987,0,0,,
Carbonic anhydrase 1,ENSG00000133742,P00915,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Lyase,7800,,590,7800,3.892094603,0,0,,
Complement C6,ENSG00000039537,P13671,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",,7600,,3700,7600,3.880813592,0,0,,
Keratin 6A,ENSG00000205420,P02538,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,7200,,,7200,3.857332496,0,0,,
Cell adhesion molecule L1 like,ENSG00000134121,O00533,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Developmental protein,6900,,,6900,3.838849091,0,0,,
CD5 molecule like,ENSG00000073754,O43866,"Plasma proteins, Predicted secreted proteins",,6800,21800,5600,6800,3.832508913,0,0,,
Coagulation factor XII,ENSG00000131187,P00748,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",6600,,9570,6600,3.819543936,0,0,,
Keratin 5,ENSG00000186081,P13647,"Disease related genes, Plasma proteins, Predicted intracellular proteins",,6500,,,6500,3.812913357,0,0,,
Von Willebrand factor,ENSG00000110799,P04275,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",,6400,1030,5270,6400,3.806179974,0,0,,
"Protein C, inactivator of coagulation factors Va and VIIIa",ENSG00000115718,P04070,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",6400,,498,6400,3.806179974,0,0,,
"Actin, alpha, cardiac muscle 1",ENSG00000159251,P68032,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Muscle protein,6200,,,6200,3.792391689,0,0,,
"Actin, alpha 1, skeletal muscle",ENSG00000143632,P68133,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Muscle protein,6100,,750,6100,3.785329835,0,0,,
Serpin family A member 10,ENSG00000140093,Q9UK55,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Heparin-binding, Protease inhibitor, Serine protease inhibitor",5900,,980,5900,3.770852012,0,0,,
Complement factor H related 2,ENSG00000080910,P36980,"Plasma proteins, Predicted secreted proteins",,5700,,57000,5700,3.755874856,0,0,,
Insulin like growth factor binding protein 3,ENSG00000146674,P17936,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Growth factor binding,5600,1660,3360,5600,3.748188027,0,0,,
C-reactive protein,ENSG00000132693,P02741,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,5400,,2150,5400,3.73239376,0,0,,
Afamin,ENSG00000079557,P43652,"Plasma proteins, Predicted secreted proteins",,5000,110000,133000,5000,3.698970004,0,0,,
Kallikrein B1,ENSG00000164344,P03952,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Hydrolase, Protease, Serine protease",4900,30200,2600,4900,3.69019608,0,0,,
Complement C1q B chain,ENSG00000173369,P02746,"Disease related genes, Plasma proteins, Predicted secreted proteins",,4700,,930,4700,3.672097858,0,1,,
Inter-alpha-trypsin inhibitor heavy chain 3,ENSG00000162267,Q06033,"Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",4500,1330,2000,4500,3.653212514,0,0,,
Fetuin B,ENSG00000090512,Q9UGM5,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",4500,,270,4500,3.653212514,0,0,,
Coagulation factor XI,ENSG00000088926,P03951,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Heparin-binding, Hydrolase, Protease, Serine protease",4400,793,63,4400,3.643452676,0,0,,
Prostaglandin D2 synthase,ENSG00000107317,P41222,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Isomerase,4300,,12000,4300,3.633468456,0,0,,
Proteoglycan 4,ENSG00000116690,Q92954,"Disease related genes, Plasma proteins, Predicted secreted proteins",,4300,,,4300,3.633468456,0,0,,
Joining chain of multimeric IgA and IgM,ENSG00000132465,P01591,"Plasma proteins, Predicted secreted proteins",,4200,39100,5600,4200,3.62324929,0,0,,
Cystatin C,ENSG00000101439,P01034,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Thiol protease inhibitor",4100,265,4800,4100,3.612783857,0,0,,
Apolipoprotein F,ENSG00000175336,Q13790,"Plasma proteins, Predicted secreted proteins",,4000,,11000,4000,3.602059991,0,0,,
Complement factor H related 3,ENSG00000116785,Q02985,"Plasma proteins, Predicted secreted proteins",,3800,,140,3800,3.579783597,0,0,,
Glycosylphosphatidylinositol specific phospholipase D1,ENSG00000112293,P80108,"Enzymes, Plasma proteins, Predicted secreted proteins",Hydrolase,3700,2260,460,3700,3.568201724,0,0,,
Complement C8 beta chain,ENSG00000021852,P07358,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,3600,,2800,3600,3.556302501,0,0,,
Talin 1,ENSG00000137076,Q9Y490,"Plasma proteins, Predicted intracellular proteins",,3600,,340,3600,3.556302501,0,0,,
Peptidase inhibitor 16,ENSG00000164530,Q6UXB8,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Protease inhibitor,3600,,41,3600,3.556302501,0,0,,
Pro-platelet basic protein,ENSG00000163736,P02775,"Plasma proteins, Predicted secreted proteins","Antibiotic, Antimicrobial, Cytokine, Growth factor, Mitogen",3500,599,3530,3500,3.544068044,0,0,,
Complement C8 alpha chain,ENSG00000157131,P07357,"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",,3400,16600,2400,3400,3.531478917,0,0,,
Coagulation factor XIII B chain,ENSG00000143278,P05160,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",,3400,,14500,3400,3.531478917,0,0,,
