uniprot,proteinName,mars14,QuantMethod,abundance,Rank,ppm
P22352,Glutathione peroxidase 3,0,depleted,219787152,80,1330.61900802865
Q14520,Hyaluronan-binding protein 2,0,depleted,213804752,81,1294.40080745963
P27169,Serum paraoxonase/arylesterase 1,0,depleted,211819184,82,1282.37992953982
P23142,Fibulin-1,0,depleted,208047728,83,1259.54706148599
P15169,Carboxypeptidase N catalytic chain,0,depleted,202970944,84,1228.81157386269
P01860,Immunoglobulin heavy constant gamma 3,1,depleted,200782944,85,1215.56514720366
P05160,Coagulation factor XIII B chain,0,depleted,200657248,86,1214.80416784107
P01024,Complement C3,1,depleted,192069520,87,1162.81298451394
P60709,"Actin, cytoplasmic 1",0,depleted,184510800,88,1117.0515447899
Q96IY4,Carboxypeptidase B2,0,depleted,181609008,89,1099.48373176075
P27918,Properdin,0,depleted,173518304,90,1050.50159412091
P00740,Coagulation factor IX,0,depleted,173201136,91,1048.5814192349
P00488,Coagulation factor XIII A chain,0,depleted,161766096,92,979.352251637474
P26927,Hepatocyte growth factor-like protein,0,depleted,159861616,93,967.822290648624
P68871,Hemoglobin subunit beta,0,depleted,152846816,94,925.353810882712
Q9Y6R7,IgGFc-binding protein,0,depleted,152317632,95,922.15006451839
P02775,Platelet basic protein,0,depleted,148051104,96,896.319968430306
P80108,Phosphatidylinositol-glycan-specific phospholipase D,0,depleted,147901488,97,895.414174385051
P03951,Coagulation factor XI,0,depleted,138757280,98,840.053991283139
P08571,Monocyte differentiation antigen CD14,0,depleted,136446368,99,826.063439946992
P07996,Thrombospondin-1,0,depleted,131104800,100,793.724916749432
P43251,Biotinidase,0,depleted,121990192,101,738.543935763201
P01871,Immunoglobulin heavy constant mu,1,depleted,118997824,102,720.42776426007
P05154,Plasma serine protease inhibitor,0,depleted,114518992,103,693.312353105523
P02745,Complement C1q subcomponent subunit A,0,depleted,111613128,104,675.719887677215
P49908,Selenoprotein P,0,depleted,109954288,105,665.677062083487
O43866,CD5 antigen-like,0,depleted,109447816,106,662.610817018196
Q9NZP8,Complement C1r subcomponent-like protein,0,depleted,97632952,107,591.082147245572
P48740,Mannan-binding lectin serine protease 1,0,depleted,97293528,108,589.027231741771
P11226,Mannose-binding protein C,0,depleted,91987152,109,556.901765329854
Q92954,Proteoglycan 4,0,depleted,84983024,110,514.497895191595
P00746,Complement factor D,0,depleted,82440328,111,499.104094423666
Q04756,Hepatocyte growth factor activator,0,depleted,82350320,112,498.559174692987
P06276,Cholinesterase,0,depleted,78959816,113,478.032637867954
P69891,Hemoglobin subunit gamma-1,0,depleted,76771744,114,464.785775311878
Q9UK55,Protein Z-dependent protease inhibitor,0,depleted,75436280,115,456.70070861545
P05452,Tetranectin,0,depleted,72153800,116,436.82816264664
P00915,Carbonic anhydrase 1,0,depleted,69810752,117,422.64305593247
P18428,Lipopolysaccharide-binding protein,0,depleted,68631288,118,415.502432818679
P20851,C4b-binding protein beta chain,0,depleted,67655000,119,409.591862713515
P69905,Hemoglobin subunit alpha,0,depleted,66972636,120,405.46074540055
P0DOX7,Immunoglobulin kappa light chain,0,depleted,66852428,121,404.732991078873
P04278,Sex hormone-binding globulin,0,depleted,65007204,122,393.561773352412
P0DOX8,Immunoglobulin lambda-1 light chain,0,depleted,64577720,123,390.961623303404
P0DOX5,Immunoglobulin gamma-1 heavy chain,0,depleted,62308080,124,377.22093783612
P61626,Lysozyme C,0,depleted,62254400,125,376.895952377685
P02768,Albumin,1,depleted,58901396,126,356.596445260016
P0DOX2,Immunoglobulin alpha-2 heavy chain,0,depleted,58757512,127,355.725353462297
P33151,Cadherin-5,0,depleted,55089432,128,333.518336689225
P17936,Insulin-like growth factor-binding protein 3,0,depleted,53623728,129,324.644780683806
Q12805,EGF-containing fibulin-like extracellular matrix protein 1,0,depleted,52484720,130,317.749083272445
Q15582,Transforming growth factor-beta-induced protein ig-h3,0,depleted,52177984,131,315.89206502396
P09172,Dopamine beta-hydroxylase,0,depleted,52125124,132,315.572043948458
O00391,Sulfhydryl oxidase 1,0,depleted,49558256,133,300.031902858225
Q9UGM5,Fetuin-B,0,depleted,49192728,134,297.818950461596
O00187,Mannan-binding lectin serine protease 2,0,depleted,48379520,135,292.89568714782
Q92930,Ras-related protein Rab-8B,0,depleted,47661240,136,288.547129862329
P13796,Plastin-2,0,depleted,44346592,137,268.479834783479
P01859,Immunoglobulin heavy constant gamma 2,0,depleted,44262820,138,267.972668579603
P22105,Tenascin-X,0,depleted,44070356,139,266.80746736365
P19320,Vascular cell adhesion protein 1,0,depleted,41059560,140,248.579730435257
P08519,Apolipoprotein(a),0,depleted,40881708,141,247.502992101545
Q9BXR6,Complement factor H-related protein 5,0,depleted,40382032,142,244.477890873354
P53367,Arfaptin-1,0,depleted,40035472,143,242.379773129773
Q96KN2,Beta-Ala-His dipeptidase,0,depleted,39671372,144,240.1754660244
P05109,Protein S100-A8,0,depleted,39460084,145,238.896301949476
P06702,Protein S100-A9,0,depleted,38959000,146,235.862676512539
P22891,Vitamin K-dependent protein Z,0,depleted,38768536,147,234.709583547646
P04070,Vitamin K-dependent protein C,0,depleted,38017100,148,230.160295676092
P49747,Cartilage oligomeric matrix protein,0,depleted,36092452,149,218.508235083558
Q9Y490,Talin-1,0,depleted,34134900,150,206.656969544595
P07737,Profilin-1,0,depleted,33924160,151,205.381123130461
P03950,Angiogenin,0,depleted,32583531,152,197.264786875672
P32119,Peroxiredoxin-2,0,depleted,30144492,153,182.498538597778
P36980,Complement factor H-related protein 2,0,depleted,28434558,154,172.146383514234
P49137,MAP kinase-activated protein kinase 2,0,depleted,28426718,155,172.098919170081
Q15113,Procollagen C-endopeptidase enhancer 1,0,depleted,27567658,156,166.898062092515
Q562R1,Beta-actin-like protein 2,0,depleted,27411744,157,165.954139164674
P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,0,depleted,27005346,158,163.493754657645
P12955,Xaa-Pro dipeptidase,0,depleted,26024952,159,157.558326313056
P15144,Aminopeptidase N,0,depleted,24512886,160,148.404088939828
P35542,Serum amyloid A-4 protein,0,depleted,23809318,161,144.14459994913
P18206,Vinculin,0,depleted,23539852,162,142.513218959138
P33908,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",0,depleted,22690664,163,137.372128208802
Q15848,Adiponectin,0,depleted,22561734,164,136.591569804255
Q9NQ79,Cartilage acidic protein 1,0,depleted,21553040,165,130.484809707175
Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,0,depleted,21365086,166,129.346912597361
P12111,Collagen alpha-3(VI) chain,0,depleted,21139558,167,127.981537774893
P04075,Fructose-bisphosphate aldolase A,0,depleted,20868452,168,126.340228019032
Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,0,depleted,20814036,169,126.010786724206
P04040,Catalase,0,depleted,20725496,170,125.474754449804
P02786,Transferrin receptor protein 1,0,depleted,19940832,171,120.724300095148
Q08380,Galectin-3-binding protein,0,depleted,19764130,172,119.654524005795
P18065,Insulin-like growth factor-binding protein 2,0,depleted,19094800,173,115.602316164985
P14618,Pyruvate kinase PKM,0,depleted,18971752,174,114.857368126803
P02741,C-reactive protein,0,depleted,18578766,175,112.478181551379
O00533,Neural cell adhesion molecule L1-like protein,0,depleted,18165194,176,109.974364747799
P01880,Immunoglobulin heavy constant delta,0,depleted,17976708,177,108.833246843204
Q9Y4F1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",0,depleted,17381853,178,105.231920001219
P61769,Beta-2-microglobulin,0,depleted,17108076,179,103.574439676068
P62736,"Actin, aortic smooth muscle",0,depleted,16921072,180,102.442293985507
P41222,Prostaglandin-H2 D-isomerase,0,depleted,16799360,181,101.705434259034
P13473,Lysosome-associated membrane glycoprotein 2,0,depleted,16691728,182,101.053816620018
P43121,Cell surface glycoprotein MUC18,0,depleted,16673645,183,100.944339868064
P13797,Plastin-3,0,depleted,16368838,184,99.0990000277255
Q9Y5Y7,Lymphatic vessel endothelial hyaluronic acid receptor 1,0,depleted,16348956,185,98.9786319039435
Q6EMK4,Vasorin,0,depleted,15612994,186,94.5230255708364
O14786,Neuropilin-1,0,depleted,15522705,187,93.9764046308831
Q07954,Prolow-density lipoprotein receptor-related protein 1,0,depleted,15517574,188,93.94534091279
P11717,Cation-independent mannose-6-phosphate receptor,0,depleted,15490869,189,93.7836654905188
P14151,L-selectin,0,depleted,15313774,190,92.7115101298322
P0DOY2,Immunoglobulin lambda constant 2,0,depleted,14204949,191,85.9985443893353
P16070,CD44 antigen,0,depleted,14200950,192,85.974333941342
Q86UP3,Zinc finger homeobox protein 4,0,depleted,14131840,193,85.5559333259827
P02647,Apolipoprotein A-I,1,depleted,13983876,194,84.6601406961026
O00534,von Willebrand factor A domain-containing protein 5A,0,depleted,13365398,195,80.9157972467296
P05062,Fructose-bisphosphate aldolase B,0,depleted,13012636,196,78.7801318166129
P11021,Endoplasmic reticulum chaperone BiP,0,depleted,12901175,197,78.1053329309442
P01619,Immunoglobulin kappa variable 3-20,0,depleted,12664764,198,76.6740710603365
Q13362,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,0,depleted,12532981,199,75.8762402356528
P01591,Immunoglobulin J chain,0,depleted,12463297,200,75.4543645522395
Q12884,Prolyl endopeptidase FAP,0,depleted,12147954,201,73.5452384453196
P13591,Neural cell adhesion molecule 1,0,depleted,12113848,202,73.3387564400028
Q8N556,Actin filament-associated protein 1,0,depleted,11787674,203,71.3640580994704
Q92820,Gamma-glutamyl hydrolase,0,depleted,11424069,204,69.1627477862349
Q13822,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,0,depleted,11323334,205,68.5528854509981
P27487,Dipeptidyl peptidase 4,0,depleted,11161835,206,67.5751502320731
P08709,Coagulation factor VII,0,depleted,11077126,207,67.0623113125757
P24821,Tenascin,0,depleted,10898765,208,65.9824914289685
Q86UX7,Fermitin family homolog 3,0,depleted,10757629,209,65.1280363682053
P14625,Endoplasmin,0,depleted,10752071,210,65.0943875385111
P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,0,depleted,10630827,211,64.3603611427851
Q9H7P6,Multivesicular body subunit 12B,0,depleted,10519763.5,212,63.6879687720146
Q7Z7M0,Multiple epidermal growth factor-like domains protein 8,0,depleted,10220042,213,61.8734171870572
P43235,Cathepsin K,0,depleted,9999465,214,60.5380163400872
Q16706,Alpha-mannosidase 2,0,depleted,9949222,215,60.2338389110972
P37802,Transgelin-2,0,depleted,9917331,216,60.0407667938288
P04180,Phosphatidylcholine-sterol acyltransferase,0,depleted,9824575,217,59.4792103261937
P07195,L-lactate dehydrogenase B chain,0,depleted,9805608,218,59.3643817272714
P23528,Cofilin-1,0,depleted,9701738,219,58.7355397084989
P22897,Macrophage mannose receptor 1,0,depleted,9594956,220,58.0890680761838
P02788,Lactotransferrin,0,depleted,9143028,221,55.3530392337865
Q9BWP8,Collectin-11,0,depleted,9133807,222,55.2972141422769
P08253,72 kDa type IV collagenase,0,depleted,9067274,223,54.8944150084077
Q12860,Contactin-1,0,depleted,9040062,224,54.7296701444929
Q16853,Membrane primary amine oxidase,0,depleted,8984401,225,54.3926914633829
Q12913,Receptor-type tyrosine-protein phosphatase eta,0,depleted,8752152,226,52.9866268632299
P00558,Phosphoglycerate kinase 1,0,depleted,8721987,227,52.8040041666257
P02776,Platelet factor 4,0,depleted,8565366,228,51.8558009720347
P23470,Receptor-type tyrosine-protein phosphatase gamma,0,depleted,8501750,229,51.4706617223358
P21333,Filamin-A,0,depleted,8350682,230,50.5560770868113
P05362,Intercellular adhesion molecule 1,0,depleted,8334621,231,50.4588417766784
Q9UNW1,Multiple inositol polyphosphate phosphatase 1,0,depleted,8287613,232,50.1742494437772
P00918,Carbonic anhydrase 2,0,depleted,8238186,233,49.8750121812195
P54108,Cysteine-rich secretory protein 3,0,depleted,8052054,234,48.7481456881208
P12830,Cadherin-1,0,depleted,8020008.5,235,48.554138208458
P07333,Macrophage colony-stimulating factor 1 receptor,0,depleted,7978774,236,48.3044993693025
P00338,L-lactate dehydrogenase A chain,0,depleted,7938019,237,48.0577634833386
O14791,Apolipoprotein L1,0,depleted,7932023,238,48.0214629466624
O95479,GDH/6PGL endoplasmic bifunctional protein,0,depleted,7919104.5,239,47.9432527260066
Q06830,Peroxiredoxin-1,0,depleted,7856261,240,47.5627902882794
Q08830,Fibrinogen-like protein 1,0,depleted,7823426.5,241,47.3640061035737
P14543,Nidogen-1,0,depleted,7814593,242,47.3105269857068
O95497,Pantetheinase,0,depleted,7758649.5,243,46.9718380141347
Q6UXB8,Peptidase inhibitor 16,0,depleted,7681705.5,244,46.5060093793756
P04406,Glyceraldehyde-3-phosphate dehydrogenase,0,depleted,7671423,245,46.4437578336162
P35443,Thrombospondin-4,0,depleted,7627994,246,46.1808332159858
P06331,Immunoglobulin heavy variable 4-34,0,depleted,7589701.5,247,45.9490056141388
P55290,Cadherin-13,0,depleted,7566145,248,45.8063916060978
Q8N6C8,Leukocyte immunoglobulin-like receptor subfamily A member 3,0,depleted,7551669.5,249,45.7187551119923
P24593,Insulin-like growth factor-binding protein 5,0,depleted,7350543,250,44.5011100336381
Q6YHK3,CD109 antigen,0,depleted,7342552,251,44.4527315165301
P78417,Glutathione S-transferase omega-1,0,depleted,7280325,252,44.076001447192
P53708,Integrin alpha-8,0,depleted,7278093.75,253,44.0624931796038
P07339,Cathepsin D,0,depleted,7272083.5,254,44.0261063716387
P12814,Alpha-actinin-1,0,depleted,7271897,255,44.0249772772274
P07099,Epoxide hydrolase 1,0,depleted,7189771,256,43.5277761639733
P30043,Flavin reductase (NADPH),0,depleted,7180057,257,43.4689663885775
P55058,Phospholipid transfer protein,0,depleted,7170450.5,258,43.4108074316762
Q16787,Laminin subunit alpha-3,0,depleted,7155041,259,43.3175163843259
P26038,Moesin,0,depleted,7133956.5,260,43.1898681745945
P04264,"Keratin, type II cytoskeletal 1",0,depleted,7104462.5,261,43.0113077962208
Q01459,Di-N-acetylchitobiase,0,depleted,7041249,262,42.6286053320475
Q14126,Desmoglein-2,0,depleted,7014633.5,263,42.4674717540111
Q99784,Noelin,0,depleted,6910834,264,41.8390565510885
Q13201,Multimerin-1,0,depleted,6833180,265,41.3689294872033
Q8WZ75,Roundabout homolog 4,0,depleted,6832213.5,266,41.3630781748788
Q02985,Complement factor H-related protein 3,0,depleted,6804277.5,267,41.1939501240804
Q6UX71,Plexin domain-containing protein 2,0,depleted,6782181.5,268,41.0601781663756
Q9NZT1,Calmodulin-like protein 5,0,depleted,6766778,269,40.9669234437785
P04083,Annexin A1,0,depleted,6741761.5,270,40.8154704124641
Q14515,SPARC-like protein 1,0,depleted,6694225.5,271,40.5276815012831
P39060,Collagen alpha-1(XVIII) chain,0,depleted,6621725,272,40.0887543733154
O75083,WD repeat-containing protein 1,0,depleted,6559730.5,273,39.7134318881628
P40189,Interleukin-6 receptor subunit beta,0,depleted,6555641.5,274,39.6886765688718
P01834,Immunoglobulin kappa constant,0,depleted,6509156.5,275,39.4072505436226
P10720,Platelet factor 4 variant,0,depleted,6434352.5,276,38.954377737497
P31946,14-3-3 protein beta/alpha,0,depleted,6366422,277,38.5431179632001
P29401,Transketolase,0,depleted,6242383,278,37.7921702866186
P35555,Fibrillin-1,0,depleted,6149137.5,279,37.2276503245367
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,0,depleted,6103130,280,36.9491151442278
Q8NBP7,Proprotein convertase subtilisin/kexin type 9,0,depleted,5905231.5,281,35.7510127830837
Q9H8L6,Multimerin-2,0,depleted,5868857,282,35.5307969940027
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,0,depleted,5827319.5,283,35.2793237548118
P02766,Transthyretin,1,depleted,5821974,284,35.2469614267926
P67936,Tropomyosin alpha-4 chain,0,depleted,5779739,285,34.9912654350447
A0M8Q6,Immunoglobulin lambda constant 7,0,depleted,5734918,286,34.7199134746769
P62937,Peptidyl-prolyl cis-trans isomerase A,0,depleted,5722765.5,287,34.6463407141769
P40197,Platelet glycoprotein V,0,depleted,5673856.5,288,34.3502394886436
P02656,Apolipoprotein C-III,0,depleted,5638944.25,289,34.1388763446185
P08294,Extracellular superoxide dismutase [Cu-Zn],0,depleted,5562304,290,33.674886650489
Q9NPH3,Interleukin-1 receptor accessory protein,0,depleted,5530847,291,33.4844420237005
P00451,Coagulation factor VIII,0,depleted,5465835,292,33.090851214762
P13727,Bone marrow proteoglycan,0,depleted,5457528,293,33.0405595939866
P55056,Apolipoprotein C-IV,0,depleted,5444776,294,32.9633573852316
P22692,Insulin-like growth factor-binding protein 4,0,depleted,5397971.5,295,32.6799970668756
Q9ULI3,Protein HEG homolog 1,0,depleted,5374233,296,32.5362812079882
P11142,Heat shock cognate 71 kDa protein,0,depleted,5370263,297,32.5122463296352
P30101,Protein disulfide-isomerase A3,0,depleted,5355627,298,32.4236381483822
P05090,Apolipoprotein D,0,depleted,5326564.5,299,32.2476901251745
P63104,14-3-3 protein zeta/delta,0,depleted,5295836.5,300,32.0616589558972
O14746,Telomerase reverse transcriptase,0,depleted,5267480.5,301,31.8899881723763
Q9NZK5,Adenosine deaminase 2,0,depleted,5225832.5,302,31.6378459523143
Q9UNN8,Endothelial protein C receptor,0,depleted,5200816,303,31.486392921
Q9Y6Z7,Collectin-10,0,depleted,5161902,304,31.2508026801363
P59665,Neutrophil defensin 1,0,depleted,5105999,305,30.9123589006481
P06312,Immunoglobulin kappa variable 4-1,0,depleted,5101984.5,306,30.888054613709
Q16270,Insulin-like growth factor-binding protein 7,0,depleted,5079707,307,30.7531838322206
P15151,Poliovirus receptor,0,depleted,5070184.5,308,30.6955334218637
Q9UHG3,Prenylcysteine oxidase 1,0,depleted,5066822,309,30.6751764247701
Q9BYE9,Cadherin-related family member 2,0,depleted,4955229,310,29.9995783945315
P01033,Metalloproteinase inhibitor 1,0,depleted,4819117.5,311,29.1755422874924
Q9BXS4,Transmembrane protein 59,0,depleted,4812640,312,29.1363266893736
Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0,depleted,4810749,313,29.1248783379969
P02533,"Keratin, type I cytoskeletal 14",0,depleted,4806158,314,29.0970838476899
Q86TH1,ADAMTS-like protein 2,0,depleted,4794175.5,315,29.02454028853
Q92859,Neogenin,0,depleted,4776391.5,316,28.9168737201094
P52566,Rho GDP-dissociation inhibitor 2,0,depleted,4768284.5,317,28.8677929244399
P24592,Insulin-like growth factor-binding protein 6,0,depleted,4762394.5,318,28.8321341250698
P06733,Alpha-enolase,0,depleted,4739518.5,319,28.6936399494519
P01624,Immunoglobulin kappa variable 3-15,0,depleted,4713015.5,320,28.5331874605376
P78509,Reelin,0,depleted,4707800.5,321,28.5016151959
P27797,Calreticulin,0,depleted,4654976,322,28.1818090418551
P35908,"Keratin, type II cytoskeletal 2 epidermal",0,depleted,4648604,323,28.1432321539797
P07359,Platelet glycoprotein Ib alpha chain,0,depleted,4620810.5,324,27.9749668160693
P02652,Apolipoprotein A-II,1,depleted,4550740,325,27.5507512131387
A0A0A0MRZ8,Immunoglobulin kappa variable 3D-11,0,depleted,4543599.5,326,27.5075217297937
P13489,Ribonuclease inhibitor,0,depleted,4540532.5,327,27.4889537267941
P60174,Triosephosphate isomerase,0,depleted,4517691.5,328,27.3506714455696
P12109,Collagen alpha-1(VI) chain,0,depleted,4510794.5,329,27.3089161417911
P07942,Laminin subunit beta-1,0,depleted,4479635,330,27.1202726173477
Q9H4A9,Dipeptidase 2,0,depleted,4452443.5,331,26.9556518630062
P30740,Leukocyte elastase inhibitor,0,depleted,4386239.5,332,26.5548445364363
P14780,Matrix metalloproteinase-9,0,depleted,4372247,333,26.4701321849616
P10586,Receptor-type tyrosine-protein phosphatase F,0,depleted,4342760,334,26.2916141854666
Q13093,Platelet-activating factor acetylhydrolase,0,depleted,4329044,335,26.2085757997009
P12821,Angiotensin-converting enzyme,0,depleted,4320623.75,336,26.1575985492093
P10721,Mast/stem cell growth factor receptor Kit,0,depleted,4296736.5,337,26.0129821391494
Q9BUB5,MAP kinase-interacting serine/threonine-protein kinase 1,0,depleted,4279757.75,338,25.9101906553115
Q6UY14,ADAMTS-like protein 4,0,depleted,4257575.5,339,25.7758965292798
P06744,Glucose-6-phosphate isomerase,0,depleted,4206418.5,340,25.4661856295557
P08133,Annexin A6,0,depleted,4201450,341,25.4361057068613
Q10588,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,0,depleted,4193068.75,342,25.3853645672652
Q9NPY3,Complement component C1q receptor,0,depleted,4171623,343,25.2555293046862
Q99497,Parkinson disease protein 7,0,depleted,4168853.25,344,25.2387608905002
P09960,Leukotriene A-4 hydrolase,0,depleted,4162503.5,345,25.2003187069178
Q9NPR2,Semaphorin-4B,0,depleted,4146525.75,346,25.1035874027353
Q15063,Periostin,0,depleted,4140918.5,347,25.0696404073587
P34096,Ribonuclease 4,0,depleted,4060095,348,24.580324792607
P00491,Purine nucleoside phosphorylase,0,depleted,3980530.5,349,24.0986313218973
Q9NY97,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",0,depleted,3923209.75,350,23.7516043059393
P19021,Peptidyl-glycine alpha-amidating monooxygenase,0,depleted,3897591.75,351,23.5965097181188
Q99969,Retinoic acid receptor responder protein 2,0,depleted,3823986.5,352,23.1508942949721
P80188,Neutrophil gelatinase-associated lipocalin,0,depleted,3792011.5,353,22.9573136311591
P35590,Tyrosine-protein kinase receptor Tie-1,0,depleted,3788211.75,354,22.9343094676775
P08567,Pleckstrin,0,depleted,3715731.75,355,22.4955064492831
Q5VV63,Attractin-like protein 1,0,depleted,3657510,356,22.1430246662229
Q13332,Receptor-type tyrosine-protein phosphatase S,0,depleted,3621174.75,357,21.923046501569
O95382,Mitogen-activated protein kinase kinase kinase 6,0,depleted,3607883.5,358,21.842579605622
Q14766,Latent-transforming growth factor beta-binding protein 1,0,depleted,3577145,359,21.6564848680266
