uniprot,proteinName,meanAbu,log10meanAbu,stdDev,relStdDev,Rank,conc_thpa_ugl,mars14,sepromix20
P00748,Coagulation factor XII,143112.39921875,5.15567726254386,32727.2404689964,0.228682075401253,107,6600,0,0
P05155,Plasma protease C1 inhibitor,142286.68515625,5.15316426175878,22545.8251099533,0.15845351295657,108,38000,0,0
P01834,Immunoglobulin kappa constant,140142.169116211,5.1465688352063,181268.171300175,1.29345915254003,109,,0,0
P27918,Properdin,135483.865625,5.13188757943743,31360.290670641,0.231468821220689,110,8500,0,0
P29622,Kallistatin,135012.895703125,5.13037525194117,26177.5801291625,0.193889479911041,111,22000,0,0
P04275,von Willebrand factor,134998.723632813,5.13032966240725,82489.2704642437,0.611037410165514,112,6400,0,0
P01008,Antithrombin-III,134737.459765625,5.12948835524635,14585.4024095022,0.108250537266128,113,210000,0,0
P01009,Alpha-1-antitrypsin,134118.639758301,5.12748914013063,131172.778363498,0.978035406561596,114,210000,1,1
P11279,Lysosome-associated membrane glycoprotein 1,133974.5484375,5.1270223019244,29976.2959005245,0.22374619843939,115,460,0,0
P03950,Angiogenin,133641.691015625,5.12594196228268,23187.3009377977,0.173503498508461,116,230,0,0
P04004,Vitronectin,132843.150390625,5.12333916639218,23960.2198684053,0.180364736894227,117,32000,0,0
Q96IY4,Carboxypeptidase B2,132682.8171875,5.12281468410157,21934.8790128645,0.16531815858166,118,14000,0,0
Q5T1B0,Axonemal dynein light chain domain-containing protein 1,131016.213671875,5.11732504430084,48170.5609796813,0.367668700152812,119,,0,0
Q9H9E3,Conserved oligomeric Golgi complex subunit 4,129287.833203125,5.11155765696574,62228.9080690082,0.481320682134412,120,,0,0
Q8IVW4,Cyclin-dependent kinase-like 3,129096.796490479,5.11091546547502,59751.6060695689,0.462843445336584,121,,0,0
P22891,Vitamin K-dependent protein Z,128682.565429688,5.10951971045849,59219.579815176,0.46019893695338,122,510,0,0
P48740,Mannan-binding lectin serine protease 1,126391.874609375,5.10171915523008,24378.1689684566,0.192877659610631,123,1800,0,0
P03951,Coagulation factor XI,123312.248828125,5.09100621799276,28832.6437185554,0.23381816480164,124,4400,0,0
P22352,Glutathione peroxidase 3,121390.080859375,5.08418320070928,29333.6386872269,0.24164773991055,125,10000,0,0
P01591,Immunoglobulin J chain,121275.869433594,5.08377439679106,149139.309411974,1.2297525477122,126,4200,0,0
P16070,CD44 antigen,119054.804296875,5.07574692546558,60647.4043345726,0.509407450566567,127,2400,0,0
A0A0B4J2D9,Immunoglobulin kappa variable 1D-13,118603.470776367,5.07409739827756,320336.556844887,2.70090373197339,128.5,,0,0
P0DP09,Immunoglobulin kappa variable 1-13,118603.470776367,5.07409739827756,320336.556844887,2.70090373197339,128.5,,0,0
Q14520,Hyaluronan-binding protein 2,116013.923828125,5.06451011576854,18074.0952417303,0.155792465639789,130,3200,0,0
P06702,Protein S100-A9,113584.1140625,5.05531759495392,175978.66336798,1.54932461128453,131,1400,0,0
Q6EMK4,Vasorin,113314.61875,5.05428594192789,18780.2964478535,0.165735865813461,132,2400,0,0
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,110000.974853516,5.04139653399119,114555.566735175,1.04140501379851,133,,0,0
P15169,Carboxypeptidase N catalytic chain,108744.104296875,5.03640572042445,14921.4744066291,0.137216399023279,134,22000,0,0
P23142,Fibulin-1,107519.671484375,5.03148792876833,21224.4563626749,0.19740068091409,135,34000,0,0
P41222,Prostaglandin-H2 D-isomerase,107505.53203125,5.03143081279888,29017.1273729063,0.269912876338973,136,4300,0,0
P02652,Apolipoprotein A-II,107410.779003906,5.0310478663451,141627.107607131,1.31855581833161,137,210000,1,0
P05452,Tetranectin,107027.943359375,5.02949718013781,28292.9750050946,0.264351291046427,138,46000,0,0
P13671,Complement component C6,105043.025,5.02136721995396,19964.0935749177,0.190056346672401,139,7600,0,0
A8MPP1,Putative ATP-dependent RNA helicase DDX11-like protein 8,104878.236627197,5.0206853767225,143182.288757396,1.3652240289504,141,,0,0
Q92771,Putative ATP-dependent RNA helicase DDX12,104878.236627197,5.0206853767225,143182.288757396,1.3652240289504,141,,0,0
Q96FC9,ATP-dependent DNA helicase DDX11,104878.236627197,5.0206853767225,143182.288757396,1.3652240289504,141,,0,0
P03952,Plasma kallikrein,104598.656640625,5.01952610692791,18883.5179413797,0.180533082812514,143,4900,0,0
P32942,Intercellular adhesion molecule 3,104576.148046875,5.01943264100486,49775.6765814803,0.475975425669426,144,370,0,0
Q05513,Protein kinase C zeta type,102501.114941406,5.01072858939438,51386.1922077062,0.501323251333223,145,,0,0
Q5T013,Putative hydroxypyruvate isomerase,102466.254986572,5.0105808635766,68692.6472691578,0.670392874982692,146,,0,0
Q96PD5,N-acetylmuramoyl-L-alanine amidase,101462.46796875,5.00630542187035,18305.2210793365,0.180413717957013,147,160000,0,0
P01871,Immunoglobulin heavy constant mu,100273.480859375,5.00118609115343,97301.3945771487,0.970360196367428,148,,0,0
Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,100180.268164062,5.00078218988111,32265.7368665756,0.322076766791389,149,4500,0,0
A0A0A0MRZ8,Immunoglobulin kappa variable 3D-11,99832.0571533203,4.99927002033809,142281.097657909,1.4252045055968,150.5,,0,0
P04433,Immunoglobulin kappa variable 3-11,99832.0571533203,4.99927002033809,142281.097657909,1.4252045055968,150.5,,0,0
P02748,Complement component C9,99661.3181640625,4.99852662704127,19703.4450430862,0.197704038096811,152,97000,0,0
P61077,Ubiquitin-conjugating enzyme E2 D3,99548.7075439453,4.99803562588853,90851.8785044523,0.912637449003004,153.5,,0,0
P62837,Ubiquitin-conjugating enzyme E2 D2,99548.7075439453,4.99803562588853,90851.8785044523,0.912637449003004,153.5,,0,0
Q8IX30,"Signal peptide, CUB and EGF-like domain-containing protein 3",98535.8490722656,4.99359426320599,69432.6757658305,0.704643806488225,155,,0,0
P01024,Complement C3,98498.50859375,4.99342965471682,14066.5850838709,0.142810132708582,156,250000,1,1
P02750,Leucine-rich alpha-2-glycoprotein,98349.418359375,4.99277179583583,47777.7853993116,0.485796318842766,157,74000,0,0
P05546,Heparin cofactor 2,96238.86328125,4.98335048472252,18924.0794138975,0.196636564155932,158,94000,0,0
P05160,Coagulation factor XIII B chain,96167.49140625,4.98302828732995,20347.3874922816,0.211582804071764,159,3400,0,0
Q9Y6Y8,SEC23-interacting protein,95962.8189453125,4.98210299705332,28390.3298275314,0.295847184769662,160,,0,0
P80108,Phosphatidylinositol-glycan-specific phospholipase D,94733.6779296875,4.97650439863276,33430.6963878388,0.352891359423958,161,3700,0,0
P12259,Coagulation factor V,94548.71953125,4.97565565159166,12526.3409938749,0.132485569936615,162,13000,0,0
P01011,Alpha-1-antichymotrypsin,94271.61171875,4.97438093207958,21036.4255079916,0.223146980564538,163,95000,0,0
P69905,Hemoglobin subunit alpha,92707.9249511719,4.96711686052479,94349.4753144553,1.01770668865847,164,17000,0,0
P01619,Immunoglobulin kappa variable 3-20,92528.2926025391,4.96627454833263,109707.493095224,1.18566429801617,165,,0,0
Q9UEW3,Macrophage receptor MARCO,92356.3486328125,4.96546675447503,103531.899150514,1.12100468114144,166,24,0,0
P60709,"Actin, cytoplasmic 1",92249.5411132813,4.96496421447917,61059.5360844039,0.66189528259467,167,,0,0
Q14790,Caspase-8,91250.9762695313,4.96023751955265,36492.1086790512,0.399909241203767,168,,0,0
P01709,Immunoglobulin lambda variable 2-8,90872.744140625,4.95843364291041,157476.647731076,1.73293597789214,169,,0,0
P26927,Hepatocyte growth factor-like protein,90761.5963867188,4.9579021259948,22323.8670695384,0.245961595633691,170,,0,0
Q08380,Galectin-3-binding protein,90501.0587890625,4.95665366012849,66495.9812405843,0.734753627530164,171,11000,0,0
P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,89742.4038085938,4.95299769821272,42233.5275887839,0.470608383511336,172,2500,0,0
Q8N556,Actin filament-associated protein 1,89720.5247558594,4.95289180501244,91084.6310355781,1.01520394896743,173,,0,0
P02776,Platelet factor 4,87496.0161132813,4.94198827908623,76837.7676389584,0.878185899795442,174,,0,0
Q9NZP8,Complement C1r subcomponent-like protein,86385.1541015625,4.93643911231961,16428.3566763828,0.190175694507276,175,20000,0,0
P02741,C-reactive protein,85870.6166992188,4.93384458189378,114523.96791184,1.33368051044732,176,5400,0,0
P08185,Corticosteroid-binding globulin,85363.239453125,4.9312708877885,13568.4606460003,0.158949692313998,177,59000,0,0
Q02985,Complement factor H-related protein 3,85225.6916015625,4.93057053418985,23292.5526761218,0.273304355041394,178,3800,0,0
P11226,Mannose-binding protein C,84466.6134277344,4.92668508209396,58759.5362120471,0.695653984782035,179,1700,0,0
P20851,C4b-binding protein beta chain,83981.666015625,4.92418448585581,12124.4910407016,0.144370689650832,180,1300,0,0
P01624,Immunoglobulin kappa variable 3-15,82422.6512695313,4.91604658025904,117631.824575673,1.42717836376076,181,,0,0
Q9Y6R7,IgGFc-binding protein,81701.1583984375,4.91222821421274,77105.3675861421,0.943748768042151,182,,0,0
P12830,Cadherin-1,81691.669921875,4.91217777389587,17007.3249999221,0.208189219490639,183,22,0,0
O14737,Programmed cell death protein 5,81144.8503570557,4.90926096368809,245463.284874985,3.02500138696283,184,0.031,0,0
P0DOX7,Immunoglobulin kappa light chain,79340.461328125,4.89949472136723,93415.319161465,1.17739823537364,185,,0,0
A0A087WSX0,Immunoglobulin lambda variable 5-45,77342.1734741211,4.88841637247656,105680.864132328,1.36640670135408,186,,0,0
Q9NRJ7,Protocadherin beta-16,75593.1314941406,4.87848233664264,31529.8320160923,0.417099164869711,187,,0,0
Q7Z5P9,Mucin-19,75392.1322509766,4.87732602626406,53858.2476727645,0.714374909751499,188,,0,0
P55056,Apolipoprotein C-IV,74961.1169433594,4.87483604904733,72935.1666900368,0.972973318222388,189,1500,0,0
Q8N6C8,Leukocyte immunoglobulin-like receptor subfamily A member 3,74278.8891601563,4.87086540024785,47065.2796727578,0.633629288279717,190,,0,0
P02753,Retinol-binding protein 4,73841.4529296875,4.86830023342872,18578.3260949158,0.251597515457968,191,420000,0,0
P06276,Cholinesterase,73578.93984375,4.866753526043,10965.1492996123,0.149025649498315,192,13000,0,0
C9J069,Apical junction component 1 homolog,72471.9497314453,4.86016994541125,54124.9992989291,0.746840667313307,193,,0,0
P0DOX2,Immunoglobulin alpha-2 heavy chain,71926.7623535156,4.85689051180018,116353.291900819,1.61766341336135,194,,0,0
P01019,Angiotensinogen,71834.67890625,4.85633415485021,19330.5149032779,0.269097254941527,195,110000,0,0
P18428,Lipopolysaccharide-binding protein,71452.9149414063,4.85401995065177,17652.6715882724,0.247053204235939,196,910,0,0
P00742,Coagulation factor X,71169.115625,4.85229156914899,11805.4612034339,0.165878992590529,197,16000,0,0
P14151,L-selectin,71148.3508789063,4.85216483818712,26112.3100098732,0.367012161031196,198,8100,0,0
P01717,Immunoglobulin lambda variable 3-25,70293.2423828125,4.84691357627276,111607.544701173,1.58774216294315,199,,0,0
P0CG47,Polyubiquitin-B,68724.5166015625,4.83711169376087,26528.0745059701,0.386005981821151,201.5,,0,0
P0CG48,Polyubiquitin-C,68724.5166015625,4.83711169376087,26528.0745059701,0.386005981821151,201.5,,0,0
P62979,Ubiquitin-40S ribosomal protein S27a,68724.5166015625,4.83711169376087,26528.0745059701,0.386005981821151,201.5,,0,0
P62987,Ubiquitin-60S ribosomal protein L40,68724.5166015625,4.83711169376087,26528.0745059701,0.386005981821151,201.5,,0,0
Q12805,EGF-containing fibulin-like extracellular matrix protein 1,68632.3853515625,4.83652909326658,18119.8910279443,0.264013715028655,204,1800,0,0
P43251,Biotinidase,68377.832421875,4.83491532953839,11023.6492103742,0.161216710444415,205,2900,0,0
P54108,Cysteine-rich secretory protein 3,67747.868359375,4.83089563498076,13381.1009536111,0.197513239569838,206,390,0,0
P05154,Plasma serine protease inhibitor,67043.3733398438,4.82635585803902,17994.4165466805,0.268399629229075,207,2300,0,0
Q04756,Hepatocyte growth factor activator,67032.039453125,4.82628243302589,15784.1502446396,0.235471729241915,208,11000,0,0
Q58FF6,Putative heat shock protein HSP 90-beta 4,66085.5459960937,4.8201064824726,49484.6868345244,0.748797427465446,209,,0,0
P05090,Apolipoprotein D,65818.2540039063,4.81834635734872,29425.5260810789,0.447072419747453,210,220000,0,0
P19320,Vascular cell adhesion protein 1,65101.7505859375,4.81359266690292,20716.7271151725,0.318220737978857,211,970,0,0
P00746,Complement factor D,63982.7419921875,4.80606284791688,20247.7627930192,0.316456628187199,212,8000,0,0
A0A075B6I9,Immunoglobulin lambda variable 7-46,62524.9283325195,4.79605320260471,70700.4313855058,1.13075589642434,213,,0,0
P07996,Thrombospondin-1,62492.73515625,4.7958295331051,66397.4061955057,1.06248199937949,214,1600,0,0
P61769,Beta-2-microglobulin,61840.58515625,4.791273590369,17852.9248395178,0.288692689346479,215,3200,0,0
P04278,Sex hormone-binding globulin,61086.9997558594,4.78594879559409,34553.9389287698,0.565651268958506,216,15000,0,0
P02745,Complement C1q subcomponent subunit A,61079.01328125,4.78589201250407,10401.7294809293,0.170299566448995,217,1200,0,1
P59665,Neutrophil defensin 1,61026.8181640625,4.78552072716103,43247.7814591061,0.708668463475193,218,,0,0
Q10713,Mitochondrial-processing peptidase subunit alpha,61016.9583984375,4.78545055493376,26229.173954587,0.429866952451348,219,,0,0
P01714,Immunoglobulin lambda variable 3-19,60898.1861328125,4.78460435725944,92820.8305969611,1.52419696695939,220,,0,0
P27169,Serum paraoxonase/arylesterase 1,60876.2294921875,4.78444774557843,13005.9477173463,0.213645750169456,221,24000,0,0
P49908,Selenoprotein P,60726.0708007813,4.78337518158784,18495.2673882573,0.304568814421291,222,2300,0,0
P0DOX3,Immunoglobulin delta heavy chain,60313.9276733399,4.78041761086719,82635.7916495169,1.37009468355422,223,,0,0
Q5VV63,Attractin-like protein 1,59601.0249755859,4.77525372848878,28391.5983960814,0.476360908352017,224,,0,0
P61224,Ras-related protein Rap-1b,59182.1781982422,4.77219094531377,57634.1858308318,0.973843606056115,225,,0,0
P18827,Syndecan-1,58930.313458252,4.77033875117197,73447.9454252511,1.24635253259401,226,1.6,0,0
P02763,Alpha-1-acid glycoprotein 1,58902.4462890625,4.77013333193106,173863.082546815,2.95171242453303,227,120000,1,1
O75882,Attractin,58614.675,4.76800636130199,12193.2153010403,0.208023251874045,228,39000,0,0
A0A075B6J9,Immunoglobulin lambda variable 2-18,58162.7044555664,4.76464459219111,123084.244597997,2.11620566392383,229,,0,0
Q99969,Retinoic acid receptor responder protein 2,57149.866796875,4.75701522249246,14805.5969995739,0.259066168118935,230,550,0,0
Q9H4G4,Golgi-associated plant pathogenesis-related protein 1,56807.9213867188,4.75440889864544,16907.0525059973,0.297617869009902,231,18,0,0
P02647,Apolipoprotein A-I,56457.2733398438,4.75171989963352,45472.2730408966,0.805428075974851,232,220000,1,1
P06331,Immunoglobulin heavy variable 4-34,56210.0425292969,4.74981391388628,71379.8094313228,1.26987645302206,233,,0,0
P51668,Ubiquitin-conjugating enzyme E2 D1,56133.7879394531,4.74922434964343,83452.4525092458,1.48667060557643,234.5,,0,0
Q9Y2X8,Ubiquitin-conjugating enzyme E2 D4,56133.7879394531,4.74922434964343,83452.4525092458,1.48667060557643,234.5,,0,0
P10720,Platelet factor 4 variant,55426.4588378906,4.74371713267346,44356.3125122489,0.800273252923856,236,1400,0,0
P43121,Cell surface glycoprotein MUC18,54564.1896484375,4.73690770973017,10056.6280243519,0.184308208170006,237,2600,0,0
