PG.ProteinAccessions,proteinName
P01602,Immunoglobulin kappa variable 1-5
P01619,Immunoglobulin kappa variable 3-20
P01701,Immunoglobulin lambda variable 1-51
P01704,Immunoglobulin lambda variable 2-14
P01705,Immunoglobulin lambda variable 2-23
P01706,Immunoglobulin lambda variable 2-11
P01709,Immunoglobulin lambda variable 2-8
P01714,Immunoglobulin lambda variable 3-19
P01715,Immunoglobulin lambda variable 3-1
P01717,Immunoglobulin lambda variable 3-25
P01718,Immunoglobulin lambda variable 3-27
P01721,Immunoglobulin lambda variable 6-57
P01742,Immunoglobulin heavy variable 1-69
P01743,Immunoglobulin heavy variable 1-46
P01762,Immunoglobulin heavy variable 3-11
P01763,Immunoglobulin heavy variable 3-48
P01766,Immunoglobulin heavy variable 3-13
P01768,Immunoglobulin heavy variable 3-30
P01780,Immunoglobulin heavy variable 3-7
P01817,Immunoglobulin heavy variable 2-5
P01834,Immunoglobulin kappa constant
P01857,Immunoglobulin heavy constant gamma 1
P01859,Immunoglobulin heavy constant gamma 2
P01860,Immunoglobulin heavy constant gamma 3
P01871,Immunoglobulin heavy constant mu
P01876,Immunoglobulin heavy constant alpha 1
P02647,Apolipoprotein A-I
P02654,Apolipoprotein C-I
P02763,Alpha-1-acid glycoprotein 1
P02766,Transthyretin
P02768,Albumin
P02787,Serotransferrin
P04211,Immunoglobulin lambda variable 7-43
P04430,Immunoglobulin kappa variable 1-16
P04433,Immunoglobulin kappa variable 3-11
P05783,"Keratin, type I cytoskeletal 18"
P05787,"Keratin, type II cytoskeletal 8"
P06310,Immunoglobulin kappa variable 2-30
P06312,Immunoglobulin kappa variable 4-1
P06331,Immunoglobulin heavy variable 4-34
P07478,Trypsin-2
P08779,"Keratin, type I cytoskeletal 16"
P0DJI8,Serum amyloid A-1 protein
P0DJI9,Serum amyloid A-2 protein
P0DOX6,Immunoglobulin mu heavy chain
P0DOX7,Immunoglobulin kappa light chain
P0DOX8,Immunoglobulin lambda-1 light chain
P0DOY2,Immunoglobulin lambda constant 2
P0DP01,Immunoglobulin heavy variable 1-8
P0DP04,Immunoglobulin heavy variable 3-43D
P0DP08,Immunoglobulin heavy variable 4-38-2
P0DTE1,Probable non-functional immunoglobulin heavy variable 3-38-3
P12532,"Creatine kinase U-type, mitochondrial"
P13647,"Keratin, type II cytoskeletal 5"
P14923,Junction plakoglobin
P15814,Immunoglobulin lambda-like polypeptide 1
P17931,Galectin-3
P23083,Immunoglobulin heavy variable 1-2
P30530,Tyrosine-protein kinase receptor UFO
P31151,Protein S100-A7
P31944,Caspase-14
P35527,"Keratin, type I cytoskeletal 9"
P35542,Serum amyloid A-4 protein
P40261,Nicotinamide N-methyltransferase
P55774,C-C motif chemokine 18
P60022,Beta-defensin 1
P60903,Protein S100-A10
P68871,Hemoglobin subunit beta
P69905,Hemoglobin subunit alpha
P78324,Tyrosine-protein phosphatase non-receptor type substrate 1
P80748,Immunoglobulin lambda variable 3-21
Q02413,Desmoglein-1
Q06278,Aldehyde oxidase
Q13200,26S proteasome non-ATPase regulatory subunit 2
Q5D862,Filaggrin-2
Q5T750,Skin-specific protein 32
Q5XPI4,E3 ubiquitin-protein ligase RNF123
Q641Q3,Meteorin-like protein
Q6KB66,"Keratin, type II cytoskeletal 80"
Q6P4A8,Phospholipase B-like 1
Q86YZ3,Hornerin
Q8N1N4,"Keratin, type II cytoskeletal 78"
Q8TDL5,BPI fold-containing family B member 1
Q9BXN1,Asporin
Q9NS62,Thrombospondin type-1 domain-containing protein 1
Q9NSC7,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
